Date,DayOfWeek,Month,Temperature,Rainfall,IceCreamsSold
2025-04-01,Tuesday,April,59.4,0.74,61
2025-04-03,Thursday,April,53.6,0.28,33
2025-04-06,Sunday,April,51.4,0.14,21
2025-04-07,Monday,April,50.8,0.06,23
2025-04-08,Tuesday,April,57.4,0.79,51
2025-04-09,Wednesday,April,59.9,0.25,73
2025-04-10,Thursday,April,55.5,0.07,43
2025-04-11,Friday,April,58.0,0.14,57
2025-04-12,Saturday,April,52.5,0.11,31
2025-04-14,Monday,April,54.6,0.33,41
2025-04-15,Tuesday,April,53.0,0.12,28
2025-04-16,Wednesday,April,66.1,0.32,98
2025-04-17,Thursday,April,55.5,0.53,42
2025-04-18,Friday,April,54.8,0.21,42
2025-04-19,Saturday,April,49.7,0.52,22
2025-04-20,Sunday,April,59.3,0.12,79
2025-04-21,Monday,April,56.4,0.24,61
2025-04-22,Tuesday,April,56.8,0.42,51
2025-04-23,Wednesday,April,55.6,0.01,54
2025-04-24,Thursday,April,60.8,0.1,71
2025-04-25,Friday,April,57.5,0.3,62
2025-04-26,Saturday,April,59.9,0.12,64
2025-04-27,Sunday,April,62.7,1.08,76
2025-04-28,Monday,April,59.1,0.51,54
2025-04-29,Tuesday,April,52.0,0.69,22
2025-04-30,Wednesday,April,57.3,0.25,55
2025-05-01,Thursday,May,73.4,0.66,146
2025-05-02,Friday,May,73.1,0.16,138
2025-05-03,Saturday,May,73.6,0.43,130
2025-05-04,Sunday,May,75.7,0.18,144
2025-05-05,Monday,May,72.4,0.19,124
2025-05-06,Tuesday,May,69.9,0.1,126
2025-05-07,Wednesday,May,67.9,0.42,97
2025-05-08,Thursday,May,72.5,0.12,129
2025-05-09,Friday,May,64.4,0.43,91
2025-05-10,Saturday,May,74.2,0.07,149
2025-05-11,Sunday,May,75.9,0.33,142
2025-05-13,Tuesday,May,73.2,0.67,124
2025-05-14,Wednesday,May,65.6,0.16,96
2025-05-15,Thursday,May,69.3,0.22,109
2025-05-17,Saturday,May,64.6,0.18,90
2025-05-18,Sunday,May,62.5,0.24,83
2025-05-19,Monday,May,62.1,0.42,74
2025-05-20,Tuesday,May,61.9,0.19,70
2025-05-21,Wednesday,May,69.6,0.47,106
2025-05-22,Thursday,May,63.7,0.12,86
2025-05-23,Friday,May,67.3,0.11,104
2025-05-24,Saturday,May,74.5,0.06,135
2025-05-25,Sunday,May,74.9,0.44,141
2025-05-26,Monday,May,71.1,0.41,121
2025-05-27,Tuesday,May,74.2,0.53,132
2025-05-28,Wednesday,May,64.5,0.05,90
2025-05-29,Thursday,May,61.6,0.03,78
2025-05-30,Friday,May,67.3,0.49,95
2025-05-31,Saturday,May,68.5,0.01,113
2025-06-01,Sunday,June,82.1,0.22,173
2025-06-02,Monday,June,72.4,0.25,130
2025-06-03,Tuesday,June,74.6,0.19,142
2025-06-04,Wednesday,June,70.5,0.05,116
2025-06-05,Thursday,June,76.2,0.12,157
2025-06-06,Friday,June,82.0,0.28,180
2025-06-07,Saturday,June,76.9,0.3,152
2025-06-08,Sunday,June,74.2,0.07,137
2025-06-09,Monday,June,85.7,0.25,196
